year,organism,paper_count,share_pct
1997,rice,738,3.340878225441376
1997,wheat,850,3.847894975101856
1997,maize,888,4.019918515165233
1997,soybean,444,2.0099592575826164
1997,tomato,408,1.8469895880488907
1997,barley,246,1.1136260751471254
1997,cotton,210,0.9506564056133997
1997,potato,263,1.1905839746491624
1997,tobacco,460,2.082390221819828
1997,other_crop,2504,11.335445903123585
1997,other_model_organism,203,0.9189678587596197
1997,non_specific,14457,65.44590312358534
1998,arabidopsis,574,2.1530382595648914
1998,rice,825,3.0945236309077266
1998,wheat,825,3.0945236309077266
1998,maize,936,3.5108777194298577
1998,soybean,532,1.9954988747186795
1998,tomato,476,1.7854463615903975
1998,barley,246,0.9227306826706676
1998,cotton,252,0.9452363090772693
1998,potato,285,1.0690172543135783
1998,tobacco,527,1.9767441860465116
1998,other_crop,2697,10.116279069767442
1998,other_model_organism,216,0.8102025506376594
1998,non_specific,18269,68.5258814703676
1999,arabidopsis,587,2.255956956187548
1999,rice,857,3.293620292083013
1999,wheat,1048,4.027671022290546
1999,maize,1033,3.9700230591852423
1999,soybean,514,1.975403535741737
1999,tomato,487,1.8716372021521908
1999,barley,270,1.037663335895465
1999,cotton,286,1.0991544965411222
1999,potato,279,1.0722521137586472
1999,tobacco,571,2.194465795541891
1999,other_crop,2904,11.16064565718678
1999,other_model_organism,238,0.9146810146041507
1999,non_specific,16946,65.12682551883167
2000,arabidopsis,797,2.361831382427026
2000,rice,1282,3.7990813453845016
2000,wheat,1449,4.29396947695955
2000,maize,1250,3.7042524818491627
2000,soybean,689,2.0417839679952583
2000,tomato,624,1.8491628389391022
2000,barley,277,0.8208623499777745
2000,cotton,433,1.28315305971255
2000,potato,364,1.0786783227144763
2000,tobacco,558,1.6535783078974662
2000,other_crop,3953,11.714328048599793
2000,other_model_organism,378,1.1201659505111867
2000,non_specific,21691,64.27915246703215
2001,arabidopsis,915,2.534696251973739
2001,rice,1670,4.626166929831851
2001,wheat,1644,4.554142774038062
2001,maize,1399,3.8754536136735087
2001,soybean,779,2.1579545139754566
2001,tomato,559,1.54851934956647
2001,barley,308,0.8532092301725809
2001,cotton,466,1.290894484611762
2001,potato,412,1.1413058533477383
2001,tobacco,571,1.581761267625142
2001,other_crop,4137,11.460151250727167
2001,other_model_organism,388,1.0748220172303942
2001,non_specific,22851,63.30092246322613
2002,arabidopsis,1149,3.0294241721155872
2002,rice,1649,4.347711453279899
2002,wheat,1632,4.302889685720313
2002,maize,1465,3.862581733811432
2002,soybean,749,1.9747943471841383
2002,tomato,696,1.8350558953807212
2002,barley,344,0.9069816494410462
2002,cotton,433,1.1416367854882936
2002,potato,454,1.1970048512971947
2002,tobacco,485,1.278738662729382
2002,other_crop,4260,11.231807635519933
2002,other_model_organism,361,0.9518034170006329
2002,non_specific,24251,63.93956971103143
2003,arabidopsis,1205,2.8692525656594516
2003,rice,1759,4.188394409124461
2003,wheat,1749,4.164583184513179
2003,maize,1609,3.831226039955235
2003,soybean,798,1.9001357239802845
2003,tomato,783,1.8644188870633616
