year,organism,fundamental_count,applied_count,applied_share
2005,barley,95,256,0.7293447293447294
2005,cotton,126,484,0.7934426229508197
2005,maize,497,1407,0.7389705882352942
2005,non_specific,7049,25737,0.7849996949917648
2005,other_crop,1352,4576,0.7719298245614035
2005,other_model_organism,161,408,0.7170474516695958
2005,potato,97,464,0.8270944741532977
2005,rice,465,1674,0.782608695652174
2005,soybean,258,626,0.7081447963800905
2005,tobacco,95,463,0.8297491039426523
2005,tomato,164,820,0.8333333333333334
2005,wheat,546,1676,0.7542754275427542
2006,arabidopsis,111,1633,0.9363532110091743
2006,barley,116,291,0.714987714987715
2006,cotton,179,492,0.7332339791356185
2006,maize,514,1554,0.7514506769825918
2006,non_specific,7973,29073,0.7847810829779194
2006,other_crop,1540,4933,0.7620886760389309
2006,other_model_organism,175,453,0.7213375796178344
2006,potato,81,470,0.852994555353902
2006,rice,532,1848,0.7764705882352941
2006,soybean,275,706,0.7196738022426096
2006,tobacco,122,529,0.8125960061443932
2006,tomato,197,807,0.8037848605577689
2006,wheat,643,1649,0.7194589877835951
2007,arabidopsis,124,1808,0.9358178053830227
2007,barley,120,343,0.7408207343412527
2007,cotton,214,545,0.7180500658761528
2007,maize,633,1673,0.7254986990459671
2007,non_specific,8881,33193,0.7889195227456386
2007,other_crop,1699,5442,0.7620781403164822
2007,other_model_organism,213,530,0.7133243606998654
2007,potato,91,544,0.8566929133858268
2007,rice,587,2105,0.7819465081723626
2007,soybean,328,877,0.7278008298755186
2007,tobacco,134,576,0.8112676056338028
2007,tomato,225,925,0.8043478260869565
2007,wheat,641,1881,0.7458366375892149
2008,arabidopsis,153,2060,0.9308630817894261
2008,barley,123,394,0.7620889748549323
2008,cotton,199,675,0.7723112128146453
2008,maize,696,1725,0.7125154894671624
2008,non_specific,9487,37557,0.798337726383811
2008,other_crop,1863,6034,0.7640876282132455
2008,other_model_organism,237,486,0.6721991701244814
2008,potato,99,598,0.8579626972740315
2008,rice,664,2196,0.7678321678321678
2008,soybean,367,1003,0.7321167883211679
2008,tobacco,162,558,0.775
2008,tomato,228,985,0.8120362737015664
2008,wheat,670,2178,0.764747191011236
2009,arabidopsis,127,2099,0.9429469901168014
2009,barley,145,434,0.7495682210708118
2009,cotton,235,615,0.7235294117647059
2009,maize,825,2042,0.7122427624694803
2009,non_specific,10706,41333,0.7942696823536194
2009,other_crop,2274,6937,0.7531212680490718
2009,other_model_organism,260,580,0.6904761904761905
2009,potato,126,618,0.8306451612903226
2009,rice,737,2485,0.771260086902545
2009,soybean,390,1018,0.7230113636363636
2009,tobacco,164,631,0.7937106918238994
2009,tomato,265,1134,0.810578984989278
2009,wheat,809,2154,0.7269659129260885
2010,arabidopsis,181,2251,0.9255756578947368
2010,barley,119,418,0.7783985102420856
2010,cotton,265,651,0.7106986899563319
2010,maize,879,2110,0.7059217129474741
2010,non_specific,11709,44509,0.7917215126827707
2010,other_crop,2487,7858,0.7595940067665539
2010,other_model_organism,237,613,0.7211764705882353
2010,potato,122,648,0.8415584415584415
2010,rice,773,2639,0.7734466588511137
2010,soybean,453,1109,0.7099871959026889
2010,tobacco,179,677,0.7908878504672897
2010,tomato,271,1170,0.8119361554476058
2010,wheat,861,2370,0.7335190343546889
2011,arabidopsis,192,2581,0.9307609087630725
2011,barley,155,434,0.7368421052631579
2011,cotton,237,696,0.7459807073954984
2011,maize,942,2365,0.7151496824916843
2011,non_specific,12298,48685,0.798337241526327
2011,other_crop,2496,8213,0.7669250163413951
2011,other_model_organism,259,740,0.7407407407407407
2011,potato,113,713,0.8631961259079903
2011,rice,763,2938,0.793839502837071
2011,soybean,443,1217,0.733132530120482
2011,tobacco,192,752,0.7966101694915254
2011,tomato,302,1339,0.8159658744667886
2011,wheat,857,2586,0.7510891664246296
2012,arabidopsis,146,2806,0.9505420054200542
2012,barley,168,493,0.745839636913767
2012,cotton,263,686,0.7228661749209695
2012,maize,1038,2479,0.7048620983793006
2012,non_specific,13095,52836,0.801383264321791
2012,other_crop,2766,8944,0.7637916310845432
2012,other_model_organism,311,714,0.6965853658536585
2012,potato,121,806,0.8694714131607335
2012,rice,897,3190,0.780523611450942
2012,soybean,431,1257,0.7446682464454977
2012,tobacco,209,848,0.8022705771050141
2012,tomato,318,1448,0.8199320498301246
2012,wheat,993,2842,0.7410691003911343
2013,arabidopsis,191,3127,0.9424352019288729
2013,barley,188,462,0.7107692307692308
2013,cotton,267,763,0.7407766990291262
2013,maize,1087,2540,0.7003032809484422
2013,non_specific,13633,52988,0.79536482490506
2013,other_crop,2955,9335,0.7595606183889341
2013,other_model_organism,316,737,0.6999050332383666
2013,potato,130,887,0.872173058013766
2013,rice,878,3371,0.7933631442692398
2013,soybean,427,1239,0.7436974789915967
2013,tobacco,171,827,0.8286573146292585
2013,tomato,321,1497,0.8234323432343235
2013,wheat,1007,2931,0.744286439817166
2014,arabidopsis,193,2897,0.9375404530744337
2014,barley,153,518,0.7719821162444114
2014,cotton,228,689,0.7513631406761178
2014,maize,1167,2641,0.6935399159663865
2014,non_specific,13569,57252,0.8084042868640657
2014,other_crop,3051,9912,0.7646378153205277
2014,other_model_organism,317,799,0.7159498207885304
2014,potato,163,829,0.8356854838709677
2014,rice,930,3339,0.7821503865073788
2014,soybean,481,1285,0.7276330690826727
2014,tobacco,146,738,0.834841628959276
2014,tomato,306,1550,0.8351293103448276
2014,wheat,931,3054,0.7663739021329987
2015,arabidopsis,199,2971,0.9372239747634069
2015,barley,169,577,0.7734584450402144
2015,cotton,181,708,0.796400449943757
2015,maize,999,2763,0.7344497607655502
2015,non_specific,12510,56936,0.819860035135213
2015,other_crop,2745,10111,0.7864810205351587
2015,other_model_organism,277,840,0.7520143240823635
2015,potato,109,833,0.8842887473460722
2015,rice,800,3455,0.8119858989424207
2015,soybean,416,1390,0.769656699889258
2015,tobacco,99,677,0.8724226804123711
2015,tomato,338,1585,0.8242329693187728
2015,wheat,869,3204,0.7866437515344955
2016,arabidopsis,184,2901,0.9403565640194489
2016,barley,149,551,0.7871428571428571
2016,cotton,158,730,0.8220720720720721
2016,maize,857,2845,0.768503511615343
2016,non_specific,11208,59774,0.842100814290947
2016,other_crop,2223,9490,0.8102108768035516
2016,other_model_organism,246,771,0.7581120943952803
2016,potato,89,712,0.8888888888888888
2016,rice,650,3059,0.8247506066325155
2016,soybean,326,1290,0.7982673267326733
2016,tobacco,51,530,0.9122203098106713
2016,tomato,210,1463,0.8744769874476988
2016,wheat,721,2832,0.7970728961441036
2017,arabidopsis,167,2831,0.9442961974649766
2017,barley,145,520,0.7819548872180451
2017,cotton,184,866,0.8247619047619048
2017,maize,872,2775,0.7608993693446668
2017,non_specific,10516,56119,0.8421850378929991
2017,other_crop,2291,10441,0.8200596921143575
2017,other_model_organism,229,732,0.7617065556711758
2017,potato,108,741,0.872791519434629
2017,rice,722,3325,0.8215962441314554
2017,soybean,348,1379,0.7984944991314418
2017,tobacco,35,538,0.9389179755671903
2017,tomato,239,1573,0.8681015452538632
2017,wheat,744,3064,0.8046218487394958
2018,arabidopsis,167,2869,0.9449934123847167
2018,barley,137,582,0.8094575799721836
2018,cotton,212,840,0.7984790874524715
2018,maize,999,3130,0.7580527972874788
2018,non_specific,12025,71824,0.856587436940214
2018,other_crop,2851,11872,0.8063573999864158
2018,other_model_organism,237,724,0.7533818938605619
2018,potato,139,867,0.8618290258449304
2018,rice,919,3971,0.8120654396728016
2018,soybean,465,1581,0.7727272727272727
2018,tobacco,39,584,0.9373996789727127
2018,tomato,285,1814,0.8642210576464984
2018,wheat,877,3722,0.8093063709502065
2019,arabidopsis,174,3216,0.9486725663716814
2019,barley,133,727,0.8453488372093023
2019,cotton,203,918,0.8189116859946476
2019,maize,1096,3403,0.7563903089575461
2019,non_specific,13080,73718,0.8493052835318786
2019,other_crop,3004,13740,0.8205924510272337
2019,other_model_organism,277,1028,0.7877394636015326
2019,potato,122,940,0.8851224105461394
2019,rice,911,4336,0.8263769773203735
2019,soybean,447,1844,0.8048886948930598
2019,tobacco,58,561,0.9063004846526656
2019,tomato,309,2049,0.8689567430025446
2019,wheat,886,3982,0.8179950698438784
