organism,macro_theme_id,macro_theme_name,count,enrichment_log2
non_specific,14,"x0d, 100, fertilizers, russian, russia",15563,0.085019281001256
non_specific,24,"11, br, 12, mmoll, 13",22869,0.019428738832475465
non_specific,17,"references, mm long, introduction, glumes, results discussion",312,0.011217434612933716
non_specific,0,"dan, yang, rats, dengan, patients",703493,-0.047249569890295905
non_specific,28,"ofthe, inthe, ina, synthesis, ethylene",382,-0.14625503963960335
non_specific,26,"ex, amp, dc, kunth, willd",763,-0.3381398340984126
non_specific,7,"sup, image, sub, tn, cosub2sub",443,-0.3734869433897036
non_specific,1,"chromosome, chromosomes, rna, karyotype, 2n",23713,-0.43700723231873834
non_specific,15,"hosting, web, provider, domain, free",477,-0.694178535063287
non_specific,27,"information given, abstract new, distribution map, geographical distribution, america",644,-0.749650334026129
non_specific,23,"kim, lee, choi, korean, sci",61,-1.1777694163443018
non_specific,5,"international rice, rice research, scientists, publication, rice based",184,-3.9250774881151282
other_crop,15,"hosting, web, provider, domain, free",570,2.4881857477025062
other_crop,27,"information given, abstract new, distribution map, geographical distribution, america",411,1.5278190012601374
other_crop,26,"ex, amp, dc, kunth, willd",358,1.495528326050514
other_crop,7,"sup, image, sub, tn, cosub2sub",126,0.7380217212743951
other_crop,1,"chromosome, chromosomes, rna, karyotype, 2n",5637,0.4157056761165525
other_crop,23,"kim, lee, choi, korean, sci",24,0.4018473765331687
other_crop,17,"references, mm long, introduction, glumes, results discussion",48,0.23616934619104224
other_crop,0,"dan, yang, rats, dengan, patients",105977,0.14735718483177473
other_crop,16,"13n, ee, taxa, dna dna, dahliae",80,0.0006156767793552974
other_crop,28,"ofthe, inthe, ina, synthesis, ethylene",52,-0.0978525198150594
other_crop,21,"theory, century, expedition, church, religious",897,-0.1013511007359857
other_crop,14,"x0d, 100, fertilizers, russian, russia",1669,-0.2106534175504237
other_crop,2,"inra, document, du, diffusion, centre",235,-0.2864202956853574
other_crop,24,"11, br, 12, mmoll, 13",2292,-0.37389396418708637
other_crop,9,"cy, qu, thc, cao, cho",49,-0.4839211222955947
other_crop,6,"oxford, academic, google scholar, scholar, published 01",1658,-0.5860303464893752
other_crop,10,"new species, described illustrated, illustrated, genus, sp nov",604,-0.7688693842826138
other_crop,22,"mr, miles, county, specimens, writer",70,-0.9324588506328183
other_crop,19,"surgery, sign, forum, archives, neck",10,-1.2414591104187924
other_crop,11,"mm long, mm, glabrous, long, hairs",26,-1.2823767555610641
other_crop,25,"national academy, academy sciences, academy, sciences, biological physical",18,-1.3366440718639978
other_crop,3,"pp, vol, bulletin, du, journal",392,-1.4484584444542246
other_crop,4,"dataset, datasets, restrictive terms, licensed restrictive, terms dataset",1280,-1.707771878369338
other_crop,29,"kan, om, van, op, te",98,-3.1071536399444684
other_crop,12,"rocks, shale, sandstone, limestone, fault",13,-3.3870193195450673
other_crop,5,"international rice, rice research, scientists, publication, rice based",0,-4.0
other_crop,8,"university arizona, libraries, project, committee, documentation",3,-4.0
other_crop,13,"greater equal, equal, geometry, 1980, false",1,-4.0
other_crop,18,"oder, mit, oft, bis, und",0,-4.0
other_crop,20,"species established, 1964 iucn, evolved worlds, worlds comprehensive, established 1964",172,-4.0
other_model_organism,26,"ex, amp, dc, kunth, willd",48,2.440396160609181
other_model_organism,16,"13n, ee, taxa, dna dna, dahliae",17,1.6098715342440995
other_model_organism,1,"chromosome, chromosomes, rna, karyotype, 2n",620,1.0748393403513459
other_model_organism,11,"mm long, mm, glabrous, long, hairs",9,1.0308296388419231
other_model_organism,10,"new species, described illustrated, illustrated, genus, sp nov",139,0.9553880602175822
other_model_organism,27,"information given, abstract new, distribution map, geographical distribution, america",18,0.858470530122534
other_model_organism,7,"sup, image, sub, tn, cosub2sub",9,0.7743879103185584
other_model_organism,2,"inra, document, du, diffusion, centre",27,0.43567137101487863
other_model_organism,0,"dan, yang, rats, dengan, patients",7177,0.10685183364988819
other_model_organism,12,"rocks, shale, sandstone, limestone, fault",10,0.07819016830297017
other_model_organism,14,"x0d, 100, fertilizers, russian, russia",132,-0.02730642645280165
other_model_organism,24,"11, br, 12, mmoll, 13",179,-0.20874840457796726
other_model_organism,22,"mr, miles, county, specimens, writer",7,-0.4106658344184134
other_model_organism,3,"pp, vol, bulletin, du, journal",27,-1.4645596753041972
other_model_organism,17,"references, mm long, introduction, glumes, results discussion",1,-1.5050720434283467
other_model_organism,25,"national academy, academy sciences, academy, sciences, biological physical",1,-1.662847962204543
other_model_organism,28,"ofthe, inthe, ina, synthesis, ethylene",1,-1.9545711268543842
other_model_organism,21,"theory, century, expedition, church, religious",15,-2.159703568944961
other_model_organism,29,"kan, om, van, op, te",13,-2.177702654816817
other_model_organism,9,"cy, qu, thc, cao, cho",1,-2.2549098553090356
other_model_organism,4,"dataset, datasets, restrictive terms, licensed restrictive, terms dataset",57,-2.3530888479901915
other_model_organism,6,"oxford, academic, google scholar, scholar, published 01",22,-2.978105908246061
other_model_organism,5,"international rice, rice research, scientists, publication, rice based",0,-4.0
other_model_organism,8,"university arizona, libraries, project, committee, documentation",0,-4.0
other_model_organism,13,"greater equal, equal, geometry, 1980, false",0,-4.0
other_model_organism,15,"hosting, web, provider, domain, free",0,-4.0
other_model_organism,18,"oder, mit, oft, bis, und",0,-4.0
other_model_organism,19,"surgery, sign, forum, archives, neck",0,-4.0
other_model_organism,20,"species established, 1964 iucn, evolved worlds, worlds comprehensive, established 1964",21,-4.0
other_model_organism,23,"kim, lee, choi, korean, sci",0,-4.0
potato,27,"information given, abstract new, distribution map, geographical distribution, america",45,2.076426909889366
potato,1,"chromosome, chromosomes, rna, karyotype, 2n",1113,1.8149810972985374
potato,14,"x0d, 100, fertilizers, russian, russia",245,0.760965678070785
potato,23,"kim, lee, choi, korean, sci",2,0.5566342717932493
potato,28,"ofthe, inthe, ina, synthesis, ethylene",6,0.5264196587462416
potato,17,"references, mm long, introduction, glumes, results discussion",4,0.3909562414511229
potato,7,"sup, image, sub, tn, cosub2sub",7,0.30784611581331983
