bridge_id,peer_id,peer_class,bridge_cpp,peer_cpp
A5080329725,A5100694227,A-only,64.6891891891892,126.0
A5080329725,A5100352697,A-only,64.6891891891892,46.24444444444445
A5080329725,A5100320365,A-only,64.6891891891892,25.721311475409838
A5080329725,A5100387750,C-only,64.6891891891892,28.844444444444445
A5080329725,A5005506126,C-only,64.6891891891892,36.733333333333334
A5080329725,A5100392899,C-only,64.6891891891892,46.44736842105263
A5103062463,A5038673328,A-only,29.823529411764707,41.857142857142854
A5103062463,A5009480635,A-only,29.823529411764707,31.52173913043478
A5103062463,A5028398297,A-only,29.823529411764707,16.5
A5103062463,A5100357552,C-only,29.823529411764707,28.11111111111111
A5103062463,A5015338414,C-only,29.823529411764707,59.8125
A5103062463,A5091259006,C-only,29.823529411764707,9.555555555555555
A5100419124,A5100318885,A-only,12.714285714285714,24.032258064516128
A5100419124,A5084550780,A-only,12.714285714285714,44.78947368421053
A5100419124,A5014842247,A-only,12.714285714285714,34.03333333333333
A5100419124,A5101755567,C-only,12.714285714285714,13.433333333333334
A5100419124,A5058824006,C-only,12.714285714285714,59.3125
A5100419124,A5100365347,C-only,12.714285714285714,40.81521739130435
A5100765672,A5101893023,A-only,63.59055118110236,72.16129032258064
A5100765672,A5083671453,A-only,63.59055118110236,83.0909090909091
A5100765672,A5077096019,A-only,63.59055118110236,44.15841584158416
A5100765672,A5100506795,C-only,63.59055118110236,4.114285714285714
A5100765672,A5089666920,C-only,63.59055118110236,31.959183673469386
A5100765672,A5043408384,C-only,63.59055118110236,4.216216216216216
A5016389221,A5052413852,A-only,87.23076923076923,34.559633027522935
A5016389221,A5077435743,A-only,87.23076923076923,54.829508196721314
A5016389221,A5087379591,A-only,87.23076923076923,101.02880658436214
A5016389221,A5065305055,C-only,87.23076923076923,32.132
A5016389221,A5082707626,C-only,87.23076923076923,81.3951048951049
A5016389221,A5060800572,C-only,87.23076923076923,75.6923076923077
A5100391027,A5002726024,A-only,27.942528735632184,66.38
A5100391027,A5101811229,A-only,27.942528735632184,40.95266272189349
A5100391027,A5031333070,A-only,27.942528735632184,21.296296296296298
A5100391027,A5100369852,C-only,27.942528735632184,6.764705882352941
A5100391027,A5100333425,C-only,27.942528735632184,22.0
A5100391027,A5110565802,C-only,27.942528735632184,29.696629213483146
A5065227938,A5025070827,A-only,28.789473684210527,43.88636363636363
A5065227938,A5012154128,A-only,28.789473684210527,12.024691358024691
A5065227938,A5046354013,A-only,28.789473684210527,94.6842105263158
A5065227938,A5090659492,C-only,28.789473684210527,15.380281690140846
A5065227938,A5018973599,C-only,28.789473684210527,25.873417721518987
A5065227938,A5078111914,C-only,28.789473684210527,62.38461538461539
A5089646584,A5077332436,A-only,94.88461538461539,89.0
A5089646584,A5011189328,A-only,94.88461538461539,79.06306306306307
A5089646584,A5034443346,A-only,94.88461538461539,80.23214285714286
A5089646584,A5046393323,C-only,94.88461538461539,81.41758241758242
A5089646584,A5020184185,C-only,94.88461538461539,12.305084745762711
A5089646584,A5045314681,C-only,94.88461538461539,30.0
A5038210338,A5026897835,A-only,47.13953488372093,58.333333333333336
A5038210338,A5037435398,A-only,47.13953488372093,49.320754716981135
A5038210338,A5052490978,A-only,47.13953488372093,53.97752808988764
A5038210338,A5032099408,C-only,47.13953488372093,11.98611111111111
A5038210338,A5085832256,C-only,47.13953488372093,60.4375
A5038210338,A5033941626,C-only,47.13953488372093,39.06521739130435
A5056172303,A5080717956,A-only,64.51694915254237,48.92413793103448
A5056172303,A5060501372,A-only,64.51694915254237,45.52459016393443
A5056172303,A5065376692,A-only,64.51694915254237,126.0
A5056172303,A5082356255,C-only,64.51694915254237,5.309859154929577
A5056172303,A5002123901,C-only,64.51694915254237,35.125
A5056172303,A5018895302,C-only,64.51694915254237,31.571428571428573
A5082806443,A5003077585,A-only,31.057692307692307,23.686274509803923
A5082806443,A5086227913,A-only,31.057692307692307,17.630769230769232
A5082806443,A5036298823,A-only,31.057692307692307,40.55882352941177
A5082806443,A5087038259,C-only,31.057692307692307,19.455555555555556
A5082806443,A5050323319,C-only,31.057692307692307,31.421875
A5082806443,A5080023353,C-only,31.057692307692307,32.91044776119403
