year,organism,applied_share,ci_lower,ci_upper
1992,non_specific,0.7580414012738853,0.7510330414012738,0.7659235668789809
1992,other_crop,0.7326454033771107,0.7138719512195122,0.7514071294559099
1992,other_model_organism,0.753731343283582,0.6791044776119403,0.8283582089552238
1992,potato,0.7918552036199095,0.7375565610859729,0.8417420814479637
1992,rice,0.8163606010016694,0.7846410684474123,0.8481218697829717
1992,soybean,0.6612529002320185,0.6194895591647331,0.7053364269141531
1992,tobacco,0.851063829787234,0.8164893617021277,0.8856382978723404
1992,tomato,0.78,0.7342857142857143,0.8257142857142857
1992,wheat,0.7772215269086358,0.7496871088861077,0.804755944931164
1993,arabidopsis,0.9206349206349206,0.8783068783068783,0.9576719576719577
1993,barley,0.6718146718146718,0.6138996138996139,0.7258687258687259
1993,cotton,0.7119565217391305,0.6467391304347826,0.7771739130434783
1993,maize,0.7197368421052631,0.6894736842105263,0.7513486842105263
1993,non_specific,0.7704568768247455,0.7631184407796102,0.7775585891264893
1993,other_crop,0.7454965357967668,0.7265473441108544,0.7644457274826789
1993,other_model_organism,0.6953125,0.6171875,0.7734375
1993,potato,0.8,0.746938775510204,0.8490816326530611
1993,rice,0.8061389337641357,0.7738287560581584,0.8384491114701131
1993,soybean,0.6755447941888619,0.6319612590799032,0.7239709443099274
1993,tobacco,0.8411458333333334,0.8046875,0.875
1993,tomato,0.7749287749287749,0.7321937321937322,0.8176638176638177
1993,wheat,0.7575757575757576,0.726010101010101,0.7866477272727272
1994,arabidopsis,0.9067796610169492,0.864406779661017,0.9449152542372882
1994,barley,0.6680327868852459,0.6024590163934426,0.7295081967213115
1994,cotton,0.7126436781609196,0.6436781609195402,0.7758620689655172
1994,maize,0.7451456310679612,0.7148058252427184,0.7743021844660194
1994,non_specific,0.7640937336228195,0.7572022160664821,0.7709815078236131
1994,other_crop,0.7419493344783169,0.7226277372262774,0.7591240875912408
1994,other_model_organism,0.6785714285714286,0.6129464285714287,0.75
1994,potato,0.80078125,0.75,0.8477539062499999
1994,rice,0.7941605839416058,0.7635036496350365,0.8262773722627738
1994,soybean,0.6644444444444444,0.62,0.7067222222222221
1994,tobacco,0.8871681415929203,0.8584070796460177,0.918141592920354
1994,tomato,0.7851662404092071,0.7442455242966752,0.8235294117647058
1994,wheat,0.7475961538461539,0.7175180288461538,0.7764423076923077
1995,arabidopsis,0.9027777777777778,0.8680555555555556,0.9340277777777778
1995,barley,0.717391304347826,0.6630434782608695,0.7681159420289855
1995,cotton,0.7346938775510204,0.6632653061224489,0.8010204081632653
1995,maize,0.7195402298850575,0.6885057471264368,0.7494252873563219
1995,non_specific,0.7646241591108511,0.7571640099444281,0.7717899970751682
1995,other_crop,0.7623682076236821,0.7445255474452555,0.7789943227899432
1995,other_model_organism,0.6892655367231638,0.6269774011299435,0.7627118644067796
1995,potato,0.8191881918819188,0.7712177121771218,0.8634686346863468
1995,rice,0.7955271565495208,0.7635782747603834,0.8259185303514377
1995,soybean,0.6148936170212767,0.5744148936170214,0.6595744680851063
1995,tobacco,0.8571428571428571,0.8258370535714286,0.8906808035714285
1995,tomato,0.7772020725388601,0.7331606217616581,0.8186528497409327
1995,wheat,0.762114537444934,0.7334801762114538,0.789647577092511
1996,arabidopsis,0.9048843187660668,0.8766066838046273,0.9331619537275064
1996,barley,0.7027027027027027,0.6447876447876448,0.7567567567567568
1996,cotton,0.7473684210526316,0.6894736842105263,0.8052631578947368
1996,maize,0.7388149939540508,0.7073760580411125,0.7666263603385731
1996,non_specific,0.7825675675675675,0.7756064189189189,0.7890557432432432
1996,other_crop,0.7535037098103875,0.7378297609233305,0.7708161582852432
1996,other_model_organism,0.7258064516129032,0.6612903225806451,0.7903225806451613
1996,potato,0.8,0.7509433962264151,0.8452830188679246
1996,rice,0.8033033033033034,0.7747747747747747,0.8333333333333334
1996,soybean,0.6457399103139013,0.600896860986547,0.6928251121076233
1996,tobacco,0.8857758620689655,0.8599137931034483,0.9137931034482759
1996,tomato,0.7729591836734694,0.7321428571428571,0.8137755102040817
1996,wheat,0.7459396751740139,0.7146171693735499,0.7749709976798144
1997,arabidopsis,0.8782816229116945,0.847255369928401,0.9093078758949881
1997,barley,0.6869918699186992,0.6300813008130082,0.7479674796747967
1997,cotton,0.6904761904761905,0.6238095238095238,0.7523809523809524
1997,maize,0.7263513513513513,0.6970720720720721,0.7567849099099099
