year,organism,share_pct,ci_lower,ci_upper,n_bootstrap
1992,other_crop,11.176347242608513,10.7517299224156,11.616822184944432,1000
1992,other_model_organism,0.7024533445166702,0.5871251834766198,0.8230236946949046,1000
1992,potato,1.1585237995386874,1.0117425036695322,1.3105472845460264,1000
1992,rice,3.1400712937722792,2.8989305934158107,3.37072761585238,1000
1992,soybean,2.2593835185573496,2.0496959530299854,2.4638288949465297,1000
1992,tobacco,1.971063115957224,1.7769710631159572,2.1914971692178655,1000
1992,tomato,1.8347661983644368,1.646047389389809,2.033969385615433,1000
1992,wheat,4.1885091214091,3.8948154749423356,4.487444957014048,1000
1993,arabidopsis,0.9863271057300907,0.8557300908047177,1.1273614445256235,1000
1993,barley,1.35163344118568,1.1950735831332846,1.5186306231082352,1000
1993,cotton,0.9602337960546916,0.8297672476776954,1.0960494729151444,1000
1993,maize,3.966183070660682,3.684375326166371,4.232465295898132,1000
1993,non_specific,66.13610270326689,65.48324809518839,66.7990032355704,1000
1993,other_crop,11.298403089447866,10.86512368228786,11.72646383467279,1000
1993,other_model_organism,0.6679887276902202,0.5531781651184636,0.7984552760672163,1000
1993,potato,1.278572174094562,1.1220123160421667,1.4351320321469576,1000
1993,rice,3.2303517378144244,2.9694186410604324,3.4912848345684164,1000
1993,soybean,2.155307379187976,1.956998225654942,2.36927251852625,1000
1993,tobacco,2.003966183070661,1.8004383676025466,2.197056674668615,1000
1993,tomato,1.8317503392130257,1.6437480430017744,2.01440350694082,1000
1993,wheat,4.133180252583238,3.851372508088926,4.409769335142469,1000
1994,arabidopsis,1.156976174134719,1.0148053730757916,1.3089518580252968,1000
1994,barley,1.19619570546132,1.0540249044023924,1.3384890675556427,1000
1994,cotton,0.8530248063535641,0.7353662123737621,0.9708059613687616,1000
1994,maize,4.039611726639867,3.774879890185312,4.304343563094421,1000
1994,non_specific,65.4819099911756,64.78564074909305,66.11457005588782,1000
1994,other_crop,11.417786057456611,10.976566330032355,11.883517991959996,1000
1994,other_model_organism,0.8236101578586137,0.6961466810471615,0.9510736346700657,1000
1994,potato,1.2550250024512206,1.1029267575252475,1.4070006863417983,1000
1994,rice,3.3581723698401804,3.1326600647122267,3.6132218844984805,1000
1994,soybean,2.2060986371212863,2.0149034219041084,2.4170261790371605,1000
1994,tobacco,2.2159035199529367,2.0198058633199336,2.4219286204529857,1000
1994,tomato,1.916854593587607,1.7256593783704286,2.098244925973135,1000
1994,wheat,4.078831257966467,3.814099421511913,4.378002745367192,1000
1995,arabidopsis,1.3676512489315225,1.215689999050242,1.5148637097540127,1000
1995,barley,1.3106657802260424,1.149206952227182,1.4673758191661126,1000
1995,cotton,0.9307626555228417,0.8072941399943014,1.0684775382277518,1000
1995,maize,4.131446481147307,3.8606467850698074,4.397497388166018,1000
1995,non_specific,64.94443916801215,64.30798271440781,65.58576313040176,1000
1995,other_crop,11.71051381897616,11.306748029252542,12.142772343052522,1000
1995,other_model_organism,0.8405356634058315,0.7218159369360813,0.9641228986608413,1000
1995,potato,1.2869218349320923,1.1443394434419223,1.4436318738721625,1000
1995,rice,2.972741950802545,2.744800075980625,3.1960537562921454,1000
1995,soybean,2.231930857631304,2.0324817171621237,2.4361287871592743,1000
1995,tobacco,2.1274574983379235,1.9327571469275335,2.307911482571944,1000
1995,tomato,1.8330325766929436,1.6668249596352929,2.0277329281033336,1000
1995,wheat,4.311900465381328,4.045849558362617,4.573083863614778,1000
1996,arabidopsis,1.7544650911058994,1.5830777557279452,1.9258524264838535,1000
1996,barley,1.1681399963918455,1.032834205303987,1.3125789283781344,1000
1996,cotton,0.8569366768897709,0.7396716579469601,0.9877322749413674,1000
1996,maize,3.7299296409886336,3.472848637921703,3.968969871910518,1000
1996,non_specific,66.7508569366769,66.11942991160021,67.37788652354321,1000
1996,other_crop,10.941728305971496,10.544493054302725,11.347758434060978,1000
1996,other_model_organism,0.8388959047447232,0.7216308858019123,0.9606711167237958,1000
1996,potato,1.1952011546094174,1.0552724156593902,1.3440375248060616,1000
1996,rice,3.00378856215046,2.7872992964098864,3.2294109687894643,1000
