work_id,organism,beauty_score,sleep_years,awakening_year
W2138191950,tobacco,1.19,8,2002.0
W2024896768,tobacco,0.95,26,2013.0
W1997860032,tobacco,0.9,25,2017.0
W2086968667,tobacco,0.82,7,1994.0
W2030235662,tobacco,0.75,2,2017.0
W1984722004,tobacco,0.75,2,2006.0
W2171812967,tobacco,0.71,33,2021.0
W2114922677,tobacco,0.51,6,2014.0
W2105088361,tobacco,0.5,2,1992.0
W1981310437,tobacco,0.5,2,1991.0
W1889304025,tobacco,0.46,4,2016.0
W2189233191,tomato,2.2,10,2022.0
W1876480460,tomato,2.02,2,2003.0
W2088202266,tomato,1.65,14,2012.0
W2028393815,tomato,1.53,7,2019.0
W2082852574,tomato,1.12,4,2012.0
W2171306713,tomato,0.89,3,2012.0
W2319306428,tomato,0.88,8,2022.0
W2065327480,tomato,0.67,6,2020.0
W2009557089,tomato,0.57,7,1998.0
W2088070968,tomato,0.5,29,2008.0
W2165169299,tomato,0.48,6,2001.0
W2105370962,tomato,0.36,11,2024.0
W1936205920,tomato,0.35,7,2018.0
W2113668353,tomato,0.35,10,2019.0
W2156657240,tomato,0.33,3,1997.0
W2142241464,tomato,0.27,5,2003.0
W2156605623,tomato,0.22,12,2021.0
W2132559136,tomato,0.22,17,2014.0
W2089132803,tomato,0.14,1,2012.0
W2186378901,tomato,0.09,5,2012.0
W2064173072,wheat,5.07,30,2021.0
W2005270526,wheat,3.55,17,2014.0
W1750043924,wheat,3.5,12,2024.0
W2040271253,wheat,3.36,12,1996.0
W2154060988,wheat,3.29,10,2020.0
W3145432744,wheat,3.24,11,2018.0
W2110678359,wheat,3.18,7,2020.0
W1984863357,wheat,2.93,29,2013.0
W1500112115,wheat,2.53,8,2021.0
W2160942776,wheat,2.37,9,2023.0
W2118683209,wheat,2.26,15,2012.0
W2150840373,wheat,2.25,26,2015.0
W2087203879,wheat,2.22,3,1991.0
W2064325521,wheat,2.22,7,2002.0
W2097503160,wheat,2.2,7,2018.0
W2062950067,wheat,2.01,6,1992.0
W257976806,wheat,1.94,20,2017.0
W2093636833,wheat,1.92,9,2009.0
W1970079409,wheat,1.87,17,2012.0
W2021109813,wheat,1.85,25,2015.0
