concept_a,concept_b,organism,year
C118552586,C70410870,non_specific,1986
C44154836,C66938386,non_specific,1988
C110354214,C195094911,non_specific,1988
C70410870,C75630572,non_specific,1989
C119599485,C146978453,non_specific,1990
C149635348,C24326235,non_specific,1990
C110354214,C117671659,non_specific,1991
C107457646,C115903868,non_specific,1992
C136264566,C6303427,non_specific,1992
C105639569,C47768531,non_specific,1994
C133731056,C13736549,non_specific,1994
C115903868,C44154836,non_specific,1994
C26873012,C62520636,non_specific,1994
C134306372,C202444582,non_specific,1996
C133425853,C175444787,non_specific,1997
C111919701,C173608175,non_specific,1998
C19527891,C61434518,non_specific,1999
C542102704,C70410870,non_specific,2001
C120314980,C49774154,non_specific,2010
C18903297,C205649164,non_specific,1960
C194828623,C545542383,non_specific,1965
C21547014,C22212356,non_specific,1969
C147597530,C159467904,non_specific,1997
C114793014,C127313418,non_specific,1960
C185592680,C31903555,non_specific,1960
C127313418,C151730666,non_specific,1960
C37621935,C48824518,non_specific,1960
C178802073,C22212356,non_specific,1964
C19417346,C509550671,non_specific,1965
C31972630,C46312422,non_specific,1972
C111472728,C41895202,non_specific,1977
C173608175,C94375191,non_specific,2004
C49204034,C91586092,non_specific,1960
C120665830,C49040817,non_specific,1965
C159985019,C66938386,non_specific,1966
C136764020,C41008148,non_specific,1960
C127413603,C22212356,non_specific,1961
C162324750,C48824518,non_specific,1960
C144027150,C86803240,non_specific,1960
C205649164,C54286561,non_specific,1960
C6557445,C86803240,non_specific,1960
C145236788,C21547014,non_specific,1960
C16674752,C17409809,non_specific,1960
C187736073,C42475967,non_specific,1960
C112930515,C91375879,non_specific,1960
C127413603,C77595967,non_specific,1960
C120665830,C62649853,non_specific,1960
C159467904,C57879066,non_specific,1961
C116915560,C548081761,non_specific,1961
C187212893,C512399662,non_specific,1961
C159390177,C199289684,non_specific,1961
C26873012,C8010536,non_specific,1962
C57879066,C78762247,non_specific,1962
C116915560,C201995342,non_specific,1962
C146978453,C178802073,non_specific,1962
C180747234,C77805123,non_specific,1962
C187736073,C3116431,non_specific,1963
C107826830,C526734887,non_specific,1964
C24890656,C57879066,non_specific,1964
C21547014,C42475967,non_specific,1964
C146978453,C171146098,non_specific,1965
C22212356,C77595967,non_specific,1966
C149923435,C187212893,non_specific,1966
C190253527,C199539241,non_specific,1967
C141071460,C90924648,non_specific,1969
C2524010,C66938386,non_specific,1970
C154945302,C46312422,non_specific,1972
C154945302,C180747234,non_specific,1973
C117671659,C191897082,non_specific,1973
C199360897,C41895202,non_specific,1974
C111472728,C11171543,non_specific,1974
C170154142,C76155785,non_specific,1974
C41895202,C94375191,non_specific,1974
C11413529,C31972630,non_specific,1975
C11413529,C28826006,non_specific,1975
C148383697,C50522688,non_specific,1975
C31972630,C44154836,non_specific,1976
C11413529,C124101348,non_specific,1976
C121684516,C44154836,non_specific,1976
C115903868,C154945302,non_specific,1978
C147176958,C66938386,non_specific,1979
C155202549,C54750564,non_specific,1979
C11171543,C138496976,non_specific,1980
C116915560,C146978453,non_specific,1980
C107038049,C111472728,non_specific,1981
C126894567,C141071460,non_specific,1981
C548259974,C99508421,non_specific,1982
C199104240,C78519656,non_specific,1983
C200601418,C21547014,non_specific,1983
C119599485,C199104240,non_specific,1983
C107993555,C77805123,non_specific,1986
C121684516,C80444323,non_specific,1988
C120314980,C188147891,non_specific,1990
C47768531,C74363100,non_specific,1990
C126838900,C143998085,non_specific,1991
C26873012,C41999313,non_specific,1993
C4249254,C77805123,non_specific,1993
C200601418,C201995342,non_specific,1994
C110354214,C56739046,non_specific,1995
C136264566,C34447519,non_specific,1995
C120314980,C44154836,non_specific,1996
C11413529,C126255220,non_specific,1997
C13736549,C201995342,non_specific,1999
C136229726,C2989005,non_specific,2003
C107457646,C118524514,non_specific,2006
C165556158,C556758197,non_specific,2011
C159467904,C74650414,non_specific,2017
C118084267,C175444787,non_specific,2018
C153349607,C52119013,non_specific,1961
C17409809,C199289684,non_specific,1960
C111472728,C144024400,non_specific,1966
C199539241,C3116431,non_specific,1976
C144027150,C59822182,non_specific,1960
C144024400,C199539241,non_specific,1961
C44154836,C79403827,non_specific,1998
C528095902,C548081761,non_specific,1960
C191897082,C192562407,non_specific,1960
C183696295,C186060115,non_specific,1974
C199104240,C44154836,non_specific,1981
C13280743,C58640448,non_specific,1983
C117671659,C199639397,non_specific,2000
C149635348,C31258907,non_specific,2007
C127413603,C171146098,non_specific,1960
C107038049,C153349607,non_specific,1984
C169760540,C188147891,non_specific,1961
C199360897,C204321447,non_specific,2016
C161191863,C23123220,non_specific,1960
C114793014,C17409809,non_specific,1960
C171250308,C57879066,non_specific,1961
C178802073,C6303427,non_specific,1961
C164705383,C42219234,non_specific,1961
C127413603,C178802073,non_specific,1962
C177322064,C185544564,non_specific,1962
C165556158,C6303427,non_specific,1962
C177713679,C187212893,non_specific,1962
C526734887,C91375879,non_specific,1964
C171146098,C22212356,non_specific,1964
C147176958,C91375879,non_specific,1965
C119599485,C49040817,non_specific,1965
C22212356,C50522688,non_specific,1966
C186060115,C21880701,non_specific,1966
C175605778,C40700,non_specific,1966
C199104240,C66938386,non_specific,1967
C188147891,C46312422,non_specific,1968
C509550671,C512399662,non_specific,1968
C22212356,C42475967,non_specific,1968
C19165224,C195244886,non_specific,1969
C45355965,C50522688,non_specific,1969
C107826830,C175605778,non_specific,1970
C19417346,C39549134,non_specific,1972
C30475298,C44870925,non_specific,1972
C149782125,C28826006,non_specific,1972
C195094911,C21547014,non_specific,1974
C110354214,C170154142,non_specific,1975
C13736549,C42475967,non_specific,1976
C154945302,C44154836,non_specific,1976
C121864883,C80444323,non_specific,1977
C542102704,C99508421,non_specific,1978
C44154836,C99508421,non_specific,1978
C134560507,C21547014,non_specific,1979
C148383697,C6303427,non_specific,1979
C10138342,C134560507,non_specific,1981
C171250308,C49040817,non_specific,1983
C199639397,C9390403,non_specific,1983
C126894567,C2989005,non_specific,1984
C107053488,C66938386,non_specific,1985
C40700,C54750564,non_specific,1986
C24667770,C29595303,non_specific,1988
C539667460,C74363100,non_specific,1989
C26271046,C47768531,non_specific,1989
C111919701,C115903868,non_specific,1990
