organism,macro_theme_id,decade,count,enrichment
maize,4,2010s,95,-0.8138328895916465
maize,24,2010s,215,-0.9303313030870808
maize,15,2010s,2,-0.9875022204764257
maize,27,2010s,4,-1.2720697878598608
maize,23,2010s,1,-1.6187203121584544
maize,16,2010s,2,-2.165839461734938
maize,21,2010s,8,-2.257525240064919
maize,3,2010s,3,-2.3216718740596067
maize,2,2010s,2,-2.428074811862407
maize,12,2010s,1,-2.7135794984998958
maize,29,2010s,9,-3.5708568134904484
maize,10,2010s,8,-3.5850647579772157
maize,5,2010s,0,-4.0
maize,8,2010s,0,-4.0
maize,9,2010s,0,-4.0
maize,11,2010s,0,-4.0
maize,18,2010s,0,-4.0
maize,19,2010s,0,-4.0
maize,20,2010s,1,-4.0
maize,26,2010s,0,-4.0
maize,7,2020s,27,1.2576343543807327
maize,23,2020s,4,0.7578878558934241
maize,1,2020s,105,0.5566807644476043
maize,0,2020s,8285,0.26145100871611626
maize,27,2020s,4,-0.2927382171765438
maize,14,2020s,151,-0.710573392082022
maize,6,2020s,9,-0.9950192821418037
maize,12,2020s,1,-1.2591856574655171
maize,24,2020s,29,-1.3980187316190977
maize,21,2020s,5,-1.8178854733730716
maize,26,2020s,4,-2.930612248936143
maize,2,2020s,0,-4.0
maize,3,2020s,0,-4.0
maize,4,2020s,21,-4.0
maize,5,2020s,0,-4.0
maize,8,2020s,0,-4.0
maize,9,2020s,1,-4.0
maize,10,2020s,1,-4.0
maize,11,2020s,0,-4.0
maize,13,2020s,0,-4.0
maize,16,2020s,0,-4.0
maize,17,2020s,0,-4.0
maize,18,2020s,0,-4.0
maize,19,2020s,0,-4.0
maize,20,2020s,0,-4.0
maize,25,2020s,0,-4.0
maize,28,2020s,0,-4.0
maize,29,2020s,0,-4.0
non_specific,20,1990s,2753,0.4651451762052943
non_specific,12,1990s,174,0.46419559423608703
non_specific,8,1990s,123,0.4607814051720524
non_specific,29,1990s,722,0.3927789902723282
non_specific,4,1990s,2130,0.37618234919626564
non_specific,16,1990s,13,0.3655480063031757
non_specific,19,1990s,22,0.34693232813582875
non_specific,17,1990s,16,0.3025382087773753
non_specific,11,1990s,41,0.2754263631601339
non_specific,26,1990s,24,0.2500707888832397
non_specific,27,1990s,6,0.2500707888832397
non_specific,25,1990s,23,0.1886702442190964
non_specific,2,1990s,1022,0.18539694132763893
non_specific,10,1990s,864,0.16260794763290037
non_specific,3,1990s,1808,0.1435301819279876
non_specific,6,1990s,2148,0.12549971991500994
non_specific,22,1990s,48,0.035057897912389197
non_specific,0,1990s,50318,0.03251851148712011
non_specific,14,1990s,95,-0.0020753008078179974
non_specific,24,1990s,1786,-0.028230373603864548
non_specific,28,1990s,124,-0.032772098030734366
non_specific,7,1990s,7,-0.04210996261007054
non_specific,21,1990s,470,-0.30923132596710745
non_specific,1,1990s,5066,-0.5183949292287907
non_specific,15,1990s,16,-1.5936259802380848
non_specific,5,1990s,33,-4.0
non_specific,23,2000s,2,0.4744139465891408
non_specific,8,2000s,40,0.4744139465891406
non_specific,20,2000s,8797,0.4576202225518402
non_specific,29,2000s,3052,0.45097022238758044
non_specific,12,2000s,170,0.4491766550901176
non_specific,11,2000s,93,0.44371714936622425
non_specific,26,2000s,65,0.36749874267262866
non_specific,4,2000s,2128,0.3050917005518314
non_specific,21,2000s,781,0.3038733295877161
non_specific,19,2000s,30,0.29384170094731976
non_specific,6,2000s,1178,0.2745916464430642
non_specific,16,2000s,323,0.2552154496054282
non_specific,10,2000s,1475,0.2510437583288626
non_specific,3,2000s,983,0.21824485981966912
non_specific,25,2000s,48,0.1767333979484556
non_specific,2,2000s,529,0.17502412553753097
non_specific,22,2000s,26,0.17485366473023303
non_specific,14,2000s,933,0.149088002909243
non_specific,17,2000s,80,0.05487505507535611
non_specific,24,2000s,6494,0.023936778055004958
non_specific,9,2000s,18,0.00048275825672847926
non_specific,0,2000s,136151,-0.029054071298715275
non_specific,7,2000s,56,-0.09327056270017983
non_specific,28,2000s,18,-0.16301597402615106
non_specific,1,2000s,5055,-0.34847250716312406
non_specific,27,2000s,335,-0.9971035544483776
non_specific,15,2000s,69,-1.0609177864074149
non_specific,5,2000s,69,-1.9716504483103277
non_specific,18,2010s,5,0.45859885136529854
non_specific,20,2010s,33413,0.45076184255680096
non_specific,8,2010s,189,0.43587877486521476
non_specific,29,2010s,3496,0.42152629090837224
non_specific,11,2010s,67,0.39540502487810425
non_specific,12,2010s,208,0.3776788559817311
non_specific,21,2010s,1207,0.3705033570306372
non_specific,19,2010s,44,0.3634416183249583
non_specific,10,2010s,2997,0.35505724687689355
non_specific,3,2010s,451,0.30116788481515233
non_specific,4,2010s,4946,0.27917666280787795
non_specific,2,2010s,301,0.1963635012378293
non_specific,25,2010s,106,0.18651930592849753
non_specific,22,2010s,22,0.16314296783912705
non_specific,6,2010s,683,0.1278262985169253
non_specific,14,2010s,7832,0.1209883376829063
non_specific,9,2010s,58,0.03117762763062224
non_specific,24,2010s,10157,0.02248120978834214
non_specific,26,2010s,47,0.013187703042935758
non_specific,0,2010s,289419,-0.05635211962620476
non_specific,17,2010s,145,-0.09620167884560543
non_specific,16,2010s,194,-0.17510798320727586
non_specific,5,2010s,36,-0.20436616135713107
non_specific,28,2010s,16,-0.24184086677579375
non_specific,1,2010s,4162,-0.30358800484482057
non_specific,7,2010s,162,-0.3512982652547591
non_specific,27,2010s,163,-0.5325229972882489
non_specific,15,2010s,47,-1.042094732458254
non_specific,23,2010s,30,-1.3210110802094015
